CODIGO,PRODUTO, PREÇO,IPI,CAS,NCM,ST,EXERCITO,CIVIL,FEDERAL,IBAMA,ONU,CLASSE RISCO,VALIDADE,CONCENTRACAO,DENSIDADE,CATEGORIA,SUBCATEGORIA
BC06435RA,TARTARATO DE COLINA (BITARTARATO) PA 100G," R$  220,64 ","0,00%",87-67-2,2923.10.00,NAO,N,N,N,N,-,-,6 - ANO,99,1,Sais Inorgânicos,Outros Sais
TP09526RA,TARTARATO DE POTASSIO PA 500G," R$  78,49 ","0,00%",6100-19-2,2918.12.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,98",Sais Inorgânicos,Outros Sais
TS06764RA,TARTARATO DE SODIO 2H2O PA 250G," R$  95,12 ","0,00%",6106-24-7,2918.12.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,54",Sais Inorgânicos,Outros Sais
TS07840RA,TARTARATO DE SODIO 2H2O PA 500G," R$  165,23 ","0,00%",6106-24-7,2918.12.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,54",Sais Inorgânicos,Outros Sais
TS08161RA,TARTARATO DE SODIO ANIDRO PA 250G," R$  186,70 ","0,00%",868-18-8,2918.12.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,82",Sais Inorgânicos,Outros Sais
TS08156RA,TARTARATO DE SODIO ANIDRO PA 500G," R$  330,90 ","0,00%",868-18-8,2918.12.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,82",Sais Inorgânicos,Outros Sais
TP09348RA,TARTARATO DE SODIO E POTASSIO 4H2O PA ACS 1KG," R$  58,18 ","0,00%",6381-59-5,2918.13.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,77",Sais Inorgânicos,Outros Sais
TP09668RA,TARTARATO DE SODIO E POTASSIO 4H2O PA ACS 500G," R$  34,08 ","0,00%",6381-59-5,2918.13.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,77",Sais Inorgânicos,Outros Sais
AT09264RA,TARTRAZINA (AMARELO)(CI.19140) 25G," R$  14,12 ","0,00%",1934-21-0,3822.90.00,NAO,N,N,N,N,-,-,4 - ANO,85,"1,93",Indicadores,Indicadores e Corantes
T04750RA,TAURINA 99% PA 100G," R$  211,66 ","0,00%",107-35-7,2921.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"1,73",Compostos Orgânicos,Diversos
T04748RA,TAURINA 99% PA 1KG," R$  1.497,16 ","0,00%",107-35-7,2921.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"1,73",Compostos Orgânicos,Diversos
T04749RA,TAURINA 99% PA 500G," R$  896,55 ","0,00%",107-35-7,2921.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"1,73",Compostos Orgânicos,Diversos
TP07803SO,TELURITO DE POTASSIO SOL.1% AQUOSA 100ML," R$  36,26 ","0,00%",123333-66-4,2804.50.00,NAO,N,N,N,N,3287,6.1,4 - ANO,1,1,Metais,Metais Alcalinos e Alcalino-Terrosos
TP03632SO,TELURITO DE POTASSIO SOL.1% AQUOSA 1L," R$  248,15 ","0,00%",123333-66-4,2804.50.00,NAO,N,N,N,N,3287,6.1,4 - ANO,1,1,Metais,Metais Alcalinos e Alcalino-Terrosos
TP08613SO,TELURITO DE POTASSIO SOL.1% AQUOSA 500ML," R$  127,89 ","0,00%",123333-66-4,2804.50.00,NAO,N,N,N,N,3287,6.1,4 - ANO,1,1,Metais,Metais Alcalinos e Alcalino-Terrosos
TP07966RA,TELURITO DE POTASSIO XH2O 25G," R$  319,89 ","0,00%",123333-66-4,2804.50.00,NAO,N,N,N,N,3284,6.1,6 - ANO,48,"1,08",Metais,Metais Alcalinos e Alcalino-Terrosos
T05647RA,"TEMED (N,N,N’,N’ - TETRAMETILETILENODIAMINA) 100ML"," R$  266,19 ","0,00%",110-18-9,2921.29.90,NAO,N,N,N,N,2372,3,6 - ANO,99,"0,77",Compostos Orgânicos,Diversos
ET08995RA,TEREBENTINA PA 1L," R$  52,16 ","0,00%",8006-64-2,3805.10.00,NAO,N,N,N,N,1299,3,6 - ANO,0,"0,85",Compostos Orgânicos,Diversos
TA04844RA,TETRABORATO DE AMONIO TETRAHIDRATADO PA 500G," R$  386,76 ","0,00%",12228-87-4,2840.20.00,NAO,N,N,N,N,-,-,6 - ANO,"98,9","2,36",Sais Inorgânicos,Boratos e Silicatos
TL05646RA,TETRABORATO DE LITIO PA 100G," R$  173,10 ","0,00%",12007-60-2,2840.20.00,NAO,N,N,N,N,-,-,6 - ANO,98,"2,47",Sais Inorgânicos,Boratos e Silicatos
TL05645RA,TETRABORATO DE LITIO PA 250G," R$  396,45 ","0,00%",12007-60-2,2840.20.00,NAO,N,N,N,N,-,-,6 - ANO,98,"2,4",Sais Inorgânicos,Boratos e Silicatos
