termo,campanha,ad_group,impr,clicks,custo,ctr,conv,status,recomendacao,motivo
"alcool 70 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 70 liquido","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 70 liquido 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 92 serve","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 95 graus","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 95 puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 96 1l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 96 para limpeza","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99 3","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99 5 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99 8","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99.5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool absoluto 100","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool absoluto 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool absoluto para que serve","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool de cereais 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool desnaturado","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool esteril","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 1 litro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,1,3.45,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcool etilico 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 500ml","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","❌ NEGATIVAR","Contém "500ml""
"alcool etilico 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,1,2.76,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcool etilico 70 liquido","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 92 8 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 95","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 96gl","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 98","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 99 3","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico cas","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico denaturato","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico liquido 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico puro 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool extra fino","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool ferreira s a","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool gel sao paulo","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,1,3.37,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcool isopropilico 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool liquido 5l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool liquido 70 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool para cosmeticos","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool santa cruz ltda","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool uzuclean","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"benzyl alcohol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"composição do álcool 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"comprar etanol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"comprar álcool isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"denatured ethanol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"distribuidora de alcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","❌ NEGATIVAR","Contém "distribuidor""
"distribuidora de álcool","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","❌ NEGATIVAR","Contém "distribuidor""
"etanol 100","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol absoluto cas","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol al 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol grau hplc","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","✅ ADICIONAR","Sinal positivo: "hplc""
"etanol neutro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol para laboratorio","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","✅ ADICIONAR","Sinal positivo: "laboratorio""
"etanol para perfumes","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,1,2.66,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"etanol álcool etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etoh 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etoh pa","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etílico hidratado","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"existe álcool 100","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fabricante de alcool","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,1,3.46,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"fds etanol 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds álcool etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fispq álcool etílico 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fornecedor de alcool etilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"galão de alcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"indústria de álcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"inpm alcool","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"isopropan","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"isopropanol 200 l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"isopropílico álcool","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"metanol 99 pureza","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,1,2.70,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"ncm alcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ncm do álcool","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ncm álcool etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o que significa alcool 96 gl","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o que é alcool absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o que é álcool etílico hidratado","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o que é álcool neutro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o álcool etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o álcool etílico 96 gl é uma substância pura","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar alcool 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar etanol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar etanol puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar álcool etílico 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar álcool isopropílico 99","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde encontrar alcool 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onu 1219","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"para que serve o álcool absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"para que serve o álcool isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"preço alcool absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"preço álcool absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"qual é o álcool etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"tipos de alcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"venda de álcool isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 46 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 54","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 70 1 litro atacado","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","❌ NEGATIVAR","Contém "atacado""
"álcool 70 5l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 70 atacado","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","❌ NEGATIVAR","Contém "atacado""
"álcool 70 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 70 isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 70 liquido 5l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 70 líquido 5 litros preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 95 onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 96 gl","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 96 mercado livre","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 99 farmácia","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 99 preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto 99 3","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto 99 9","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto ampola","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto estéril ampola","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool anidro absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etanol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etilico 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etilico 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etilico 96º","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etilico hidratado","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etilico hidratado 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico 46 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico 70 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico 92 8","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico absoluto formula","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico absoluto para que serve","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico absoluto synth","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico de origem agrícola","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico densidade","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico desnaturado","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico etanol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico hidratado 92","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico hidratado 92 8","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool extra neutro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool hospitalar 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,1,2.79,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"álcool isopropílico 100","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool isopropílico 99 8","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool isopropílico ou isopropanol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool isopropílico p a","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool isopropílico vende em farmacia","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool líquido 70 5l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool para","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcooletílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"aluminox produto","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"cas 1330 20 7","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"cas xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
