termo,campanha,ad_group,impr,clicks,custo,ctr,conv,status,recomendacao,motivo
"acido clorhidrico","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"hcl química","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido cloridrico","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 100 existe","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 96 graus","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 96 onde encontrar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99 3 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99 5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99 gl","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99 preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool absoluto 99","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool absoluto ampola","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool anidro preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,1,2.66,33.33%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcool benzilico usp","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etanol onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 90","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 92.8","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico hidratado","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etílico pa","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool isopropilico pa","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"comprar alcool 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol etilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol merck","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ethyl alcohol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fabrica de álcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fispq álcool etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fornecedor de alcool","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,1,3.37,33.33%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"onde comprar alcool 99","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 96 líquido","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto 99 8","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etilico absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool hidrofílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
